tag-local-identifier,individual-local-identifier,timestamp,acceleration-axes,acceleration-sampling-frequency-per-axis,accelerations-raw
26147,cal,2025-02-21 14:55:26.566,XYZ,8.0,0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840
26147,cal,2025-02-21 14:55:31.566,XYZ,8.0,0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840
26147,cal,2025-02-21 14:55:36.566,XYZ,8.0,0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840
26147,cal,2025-02-21 14:55:41.566,XYZ,8.0,0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 0.000 0.060 -0.840 -0.030 0.030 -0.840 0.030 0.160 -0.840 0.000 0.160 -0.880 0.000 0.130 -0.880 0.000 0.060 -0.840 0.000 -0.030 -0.840
26147,cal,2025-02-21 14:55:46.566,XYZ,8.0,0.000 -0.130 -0.810 0.030 -0.190 -0.780 0.000 -0.280 -0.780 0.000 -0.280 -0.780 -0.030 -0.280 -0.810 -0.030 -0.340 -0.810 0.060 -0.340 -0.720 0.090 -0.470 -0.690 0.030 -0.560 -0.660 0.060 -0.590 -0.630 0.060 -0.630 -0.590 0.060 -0.690 -0.590 0.090 -0.660 -0.500 0.060 -0.690 -0.530 0.130 -0.750 -0.530 0.130 -0.750 -0.470 0.090 -0.810 -0.500 0.130 -0.780 -0.440 0.060 -0.750 -0.440 0.060 -0.780 -0.470 0.090 -0.840 -0.440 0.060 -0.840 -0.310 -0.060 -0.970 -0.190 0.060 -0.880 -0.280 0.060 -0.910 -0.190 0.060 -0.910 -0.130 0.060 -1.030 0.000 0.060 -1.160 0.090 0.060 -1.030 0.060 0.060 -1.000 0.060 0.060 -1.030 0.090 0.060 -1.060 0.130 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -0.970 0.060 0.060 -1.000 0.060 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090
26147,cal,2025-02-21 14:55:51.566,XYZ,8.0,0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.060 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090
26147,cal,2025-02-21 14:55:56.566,XYZ,8.0,0.060 -0.970 0.060 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.060 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090
26147,cal,2025-02-21 14:56:01.566,XYZ,8.0,0.060 -1.000 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.060
26147,cal,2025-02-21 14:56:06.566,XYZ,8.0,0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.060 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -0.970 0.090 0.060 -1.000 0.090 0.060 -0.970 0.090 0.030 -1.000 0.060 0.060 -1.000 0.090 0.000 -1.030 0.030 0.060 -1.060 0.090 0.130 -1.030 0.090 0.220 -0.970 0.060 0.250 -0.940 0.060 0.310 -0.910 0.060 0.340 -0.940 0.060 0.340 -1.030 0.030 0.410 -0.880 0.060 0.470 -0.840 0.060 0.500 -0.940 0.130 0.560 -0.750 0.030 0.630 -0.660 0.060 0.720 -0.690 0.090 0.750 -0.660 0.000 0.840 -0.500 0.030 0.880 -0.440 0.030
26147,cal,2025-02-21 14:56:11.566,XYZ,8.0,0.880 -0.410 0.060 0.840 -0.410 0.030 0.940 -0.250 -0.030 0.970 -0.160 0.130 1.030 0.000 0.060 0.970 0.000 0.060 1.220 0.060 -0.030 0.940 -0.030 0.000 0.970 0.000 0.060 0.970 0.030 0.030 0.970 0.000 0.060 0.970 0.000 0.090 0.970 0.030 0.090 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060
